text,lang,folder,filename
"Uclés","es","Spain","Uclés.mp3"
"Ribera del Júcar","es","Spain","Ribera del Júcar.mp3"
"Pla de Bages","es","Spain","Pla de Bages.mp3"
"Costers del Segre","es","Spain","Costers del Segre.mp3"
"Pla i Llevant","es","Spain","Pla i Llevant.mp3"
"Tierra de León","es","Spain","Tierra de León.mp3"
"Tierra del Vino de Zamora","es","Spain","Tierra del Vino de Zamora.mp3"
"Tarragona","es","Spain","Tarragona.mp3"
"Mondéjar","es","Spain","Mondéjar.mp3"
"Calatayud","es","Spain","Calatayud.mp3"
"Campo de Borja","es","Spain","Campo de Borja.mp3"
"Cariñena","es","Spain","Cariñena.mp3"
"Málaga","es","Spain","Málaga.mp3"
"Sierras de Málaga","es","Spain","Sierras de Málaga.mp3"
"Cangas","es","Spain","Cangas.mp3"
"La Palma","es","Spain","La Palma.mp3"
"Valle de Güimar","es","Spain","Valle de Güimar.mp3"
"Valle de la Orotava","es","Spain","Valle de la Orotava.mp3"
"Ycoden-Daute-Isora","es","Spain","Ycoden-Daute-Isora.mp3"
"Gran Canaria","es","Spain","Gran Canaria.mp3"
"La Gomera","es","Spain","La Gomera.mp3"
"El Hierro","es","Spain","El Hierro.mp3"
"Las Islas Canarias","es","Spain","Las Islas Canarias.mp3"
"Rioja","es","Spain","Rioja.mp3"
"Navarra","es","Spain","Navarra.mp3"
"Priorato, Comunidad de Cataluña","es","Spain","Priorato, Comunidad de Cataluña.mp3"
"Penedés, Comunidad de Cataluña","es","Spain","Penedés, Comunidad de Cataluña.mp3"
"Cataluña","es","Spain","Cataluña.mp3"
"Ampurdán-Costa Brava","es","Spain","Ampurdán-Costa Brava.mp3"
"Binissalem-Mallorca","es","Spain","Binissalem-Mallorca.mp3"
"Chacolí de Bizkaia-Bizkaiko Txakolina","es","Spain","Chacolí de Bizkaia-Bizkaiko Txakolina.mp3"
"Chacolí de Getaria-Getariako Txakolina","es","Spain","Chacolí de Getaria-Getariako Txakolina.mp3"
