text,lang,filename
"Château Meyney","fr","Château Meyney.mp3"
"Château Phélan Ségur","fr","Château Phélan Ségur.mp3"
"Château Haut-Marbuzet","fr","Château Haut-Marbuzet.mp3"
"Château Le Boscq","fr","Château Le Boscq.mp3"
"Château Lilian Ladouys","fr","Château Lilian Ladouys.mp3"
"Château Cos Labory","fr","Château Cos Labory.mp3"
"Château Léoville Las Cases","fr","Château Léoville Las Cases.mp3"
"Château Léoville Barton","fr","Château Léoville Barton.mp3"
"Château Léoville Poyferré","fr","Château Léoville Poyferré.mp3"
"Château Ducru-Beaucaillou","fr","Château Ducru-Beaucaillou.mp3"
"Château Gruaud Larose","fr","Château Gruaud Larose.mp3"
"Château Lagrange","fr","Château Lagrange.mp3"
"Château Talbot","fr","Château Talbot.mp3"
"Château Branaire-Ducru","fr","Château Branaire-Ducru.mp3"
"Château Beychevelle","fr","Château Beychevelle.mp3"
"Château Langoa Barton","fr","Château Langoa Barton.mp3"
